Title,Laurier & Metcalfe bike counter - updated daily
2014-08-26,2575
2014-08-27,2614
2014-08-28,2422
2014-08-29,2085
2014-08-30,823
2014-08-31,565
2014-09-01,778
2014-09-02,1875
2014-09-03,2525
2014-09-04,2699
2014-09-05,2164
2014-09-06,636
2014-09-07,1023
2014-09-08,2567
2014-09-09,2790
2014-09-10,2518
2014-09-11,1656
2014-09-12,2092
2014-09-13,300
2014-09-14,557
2014-09-15,2006
2014-09-16,2409
2014-09-17,1973
2014-09-18,2128
2014-09-19,1902
2014-09-20,666
2014-09-21,478
2014-09-22,1677
2014-09-23,2125
2014-09-24,2220
2014-09-25,2434
2014-09-26,2221
2014-09-27,945
2014-09-28,948
2014-09-29,2164
2014-09-30,2192
2014-10-01,2211
2014-10-02,2229
2014-10-03,1989
2014-10-04,320
2014-10-05,570
2014-10-06,1731
2014-10-07,1375
2014-10-08,1222
2014-10-09,1528
2014-10-10,1434
2014-10-11,406
2014-10-12,358
2014-10-13,432
2014-10-14,2023
2014-10-15,1103
2014-10-16,1153
2014-10-17,1361
2014-10-18,393
2014-10-19,346
2014-10-20,1344
2014-10-21,1012
2014-10-22,1438
2014-10-23,1674
2014-10-24,1696
2014-10-25,409
2014-10-26,393
2014-10-27,1537
2014-10-28,1100
2014-10-29,1495
2014-10-30,1541
2014-10-31,1294
2014-11-01,332
2014-11-02,406
2014-11-03,1383
2014-11-04,1200
2014-11-05,1362
2014-11-06,1196
2014-11-07,876
2014-11-08,302
2014-11-09,284
2014-11-10,1014
2014-11-11,837
2014-11-12,1119
2014-11-13,1104
2014-11-14,912
2014-11-15,275
2014-11-16,173
2014-11-17,380
2014-11-18,340
2014-11-19,378
2014-11-20,423
2014-11-21,335
2014-11-22,126
2014-11-23,180
2014-11-24,545
2014-11-25,688
2014-11-26,704
2014-11-27,711
2014-11-28,554
2014-11-29,199
2014-11-30,203
2014-12-01,607
2014-12-02,457
2014-12-03,376
2014-12-04,313
2014-12-05,270
2014-12-06,114
2014-12-07,92
2014-12-08,305
2014-12-09,390
2014-12-10,228
2014-12-11,222
2014-12-12,207
2014-12-13,71
2014-12-14,70
2014-12-15,311
2014-12-16,311
2014-12-17,307
2014-12-18,295
2014-12-19,262
2014-12-20,66
2014-12-21,47
2014-12-22,232
2014-12-23,172
2014-12-24,137
2014-12-25,51
2014-12-26,78
2014-12-27,145
2014-12-28,84
2014-12-29,188
2014-12-30,145
2014-12-31,157
2015-01-01,54
2015-01-02,140
2015-01-03,35
2015-01-04,26
2015-01-05,130
2015-01-06,168
2015-01-07,152
2015-01-08,206
2015-01-09,183
2015-01-10,44
2015-01-11,48
2015-01-12,223
2015-01-13,174
2015-01-14,171
2015-01-15,203
2015-01-16,178
2015-01-17,32
2015-01-18,61
2015-01-19,209
2015-01-20,201
2015-01-21,200
2015-01-22,203
2015-01-23,250
2015-01-24,77
2015-01-25,97
2015-01-26,191
2015-01-27,233
2015-01-28,216
2015-01-29,201
2015-01-30,136
2015-01-31,31
2015-02-01,43
2015-02-02,144
2015-02-03,178
2015-02-04,175
2015-02-05,151
2015-02-06,164
2015-02-07,35
2015-02-08,25
2015-02-09,155
2015-02-10,213
2015-02-11,234
2015-02-12,179
2015-02-13,133
2015-02-14,34
2015-02-15,14
2015-02-16,95
2015-02-17,156
2015-02-18,191
2015-02-19,154
2015-02-20,144
2015-02-21,25
2015-02-22,36
2015-02-23,161
2015-02-24,154
2015-02-25,201
2015-02-26,185
2015-02-27,179
2015-02-28,49
2015-03-01,35
2015-03-02,213
2015-03-03,197
2015-03-04,201
2015-03-05,187
2015-03-06,169
2015-03-07,46
2015-03-08,60
2015-03-09,246
2015-03-10,305
2015-03-11,368
2015-03-12,299
2015-03-13,287
2015-03-14,59
2015-03-15,52
2015-03-16,278
2015-03-17,266
2015-03-18,245
2015-03-19,291
2015-03-20,318
2015-03-21,57
2015-03-22,45
2015-03-23,224
2015-03-24,341
2015-03-25,369
2015-03-26,405
2015-03-27,247
2015-03-28,108
2015-03-29,133
2015-03-30,350
2015-03-31,499
2015-04-01,578
2015-04-02,367
2015-04-03,379
2015-04-04,204
2015-04-05,89
2015-04-06,221
2015-04-07,778
2015-04-08,711
2015-04-09,638
2015-04-10,531
2015-04-11,292
2015-04-12,560
2015-04-13,1385
2015-04-14,1437
2015-04-15,1513
2015-04-16,1514
2015-04-17,1526
2015-04-18,551
2015-04-19,490
2015-04-20,568
2015-04-21,784
2015-04-22,926
2015-04-23,1052
2015-04-24,1024
2015-04-25,444
2015-04-26,426
2015-04-27,1453
2015-04-28,1889
2015-04-29,1966
2015-04-30,1937
2015-05-01,1893
2015-05-02,931
2015-05-03,897
2015-05-04,1781
2015-05-05,2400
2015-05-06,2448
2015-05-07,2568
2015-05-08,2373
2015-05-09,763
2015-05-10,490
2015-05-11,982
2015-05-12,1652
2015-05-13,2245
2015-05-14,2260
2015-05-15,2041
2015-05-16,630
2015-05-17,854
2015-05-18,666
2015-05-19,2531
2015-05-20,2379
2015-05-21,2484
2015-05-22,1983
2015-05-23,880
2015-05-24,1145
2015-05-25,1584
2015-05-26,2548
2015-05-27,2401
2015-05-28,2115
2015-05-29,2437
2015-05-30,663
2015-05-31,749
2015-06-01,2199
2015-06-02,1896
2015-06-03,2714
2015-06-04,2763
2015-06-05,1791
2015-06-06,1103
2015-06-07,935
2015-06-08,899
2015-06-09,1804
2015-06-10,2100
2015-06-11,2501
2015-06-12,1147
2015-06-13,656
2015-06-14,662
2015-06-15,2459
2015-06-16,1378
2015-06-17,3131
2015-06-18,2965
2015-06-19,2830
2015-06-20,1746
2015-06-21,867
2015-06-22,3332
2015-06-23,2332
2015-06-24,3051
2015-06-25,3330
2015-06-26,2173
2015-06-27,990
2015-06-28,364
2015-06-29,2137
2015-06-30,2573
2015-07-01,719
2015-07-02,2860
2015-07-03,2619
2015-07-04,1060
2015-07-05,1060
2015-07-06,2893
2015-07-07,2571
2015-07-08,3102
2015-07-09,2927
2015-07-10,2732
2015-07-11,1106
2015-07-12,1025
2015-07-13,2710
2015-07-14,2524
2015-07-15,2938
2015-07-16,2938
2015-07-17,2082
2015-07-18,926
2015-07-19,857
2015-07-20,2713
2015-07-21,2013
2015-07-22,2844
2015-07-23,2787
2015-07-24,2307
2015-07-25,766
2015-07-26,836
2015-07-27,2389
2015-07-28,2536
2015-07-29,2473
2015-07-30,1794
2015-07-31,2059
2015-08-01,886
2015-08-02,895
2015-08-03,647
2015-08-04,2367
2015-08-05,2494
2015-08-06,2481
2015-08-07,2180
2015-08-08,972
2015-08-09,972
2015-08-10,2600
2015-08-11,1210
2015-08-12,2372
2015-08-13,2578
2015-08-14,1553
2015-08-15,910
2015-08-16,756
2015-08-17,2394
2015-08-18,2426
2015-08-19,2448
2015-08-20,1872
2015-08-21,2211
2015-08-22,972
2015-08-23,965
2015-08-24,2266
2015-08-25,2589
2015-08-26,2263
2015-08-27,2234
2015-08-28,2089
2015-08-29,793
